,FILE,Rahang,Total,RMSE
0,f_cr\ld_saved_de_pop1000_iter10_f0.5_cr0.3_no_candidate.csv,BOTH,32648.24885644552,3.32561346177963
1,f_cr\ld_saved_de_pop1000_iter10_f0.5_cr0.3_no_candidate.csv,UPPER,20777.83024256794,2.6530285298642555
2,f_cr\ld_saved_de_pop1000_iter10_f0.5_cr0.3_no_candidate.csv,LOWER,11870.418613877602,2.0052791618366275
3,f_cr\ld_saved_de_pop1000_iter10_f0.5_cr0.5_no_candidate.csv,BOTH,32483.01315035486,3.31718717319209
4,f_cr\ld_saved_de_pop1000_iter10_f0.5_cr0.5_no_candidate.csv,UPPER,20399.164301304387,2.6287422867080297
5,f_cr\ld_saved_de_pop1000_iter10_f0.5_cr0.5_no_candidate.csv,LOWER,12083.84884905048,2.0232263175589553
6,f_cr\ld_saved_de_pop1000_iter10_f0.5_cr0.7_no_candidate.csv,BOTH,32331.959568073857,3.3094653388868287
7,f_cr\ld_saved_de_pop1000_iter10_f0.5_cr0.7_no_candidate.csv,UPPER,20341.82120850748,2.6250449220899705
8,f_cr\ld_saved_de_pop1000_iter10_f0.5_cr0.7_no_candidate.csv,LOWER,11990.138359566376,2.015365968330063
9,f_cr\ld_saved_de_pop1000_iter10_f0.25_cr0.3_no_candidate.csv,BOTH,32008.26748075403,3.2928572757099284
10,f_cr\ld_saved_de_pop1000_iter10_f0.25_cr0.3_no_candidate.csv,UPPER,20202.829527485603,2.6160613410631544
11,f_cr\ld_saved_de_pop1000_iter10_f0.25_cr0.3_no_candidate.csv,LOWER,11805.437953268405,1.9997830127267937
12,f_cr\ld_saved_de_pop1000_iter10_f0.25_cr0.5_no_candidate.csv,BOTH,32697.927122147918,3.3281426619006864
13,f_cr\ld_saved_de_pop1000_iter10_f0.25_cr0.5_no_candidate.csv,UPPER,20517.935862963674,2.6363839399415503
14,f_cr\ld_saved_de_pop1000_iter10_f0.25_cr0.5_no_candidate.csv,LOWER,12179.991259184257,2.0312590428553565
15,f_cr\ld_saved_de_pop1000_iter10_f0.25_cr0.7_no_candidate.csv,BOTH,32775.099141481245,3.332067805572897
16,f_cr\ld_saved_de_pop1000_iter10_f0.25_cr0.7_no_candidate.csv,UPPER,20545.243904193496,2.638137784547132
17,f_cr\ld_saved_de_pop1000_iter10_f0.25_cr0.7_no_candidate.csv,LOWER,12229.85523728775,2.035412707703313
18,f_cr\ld_saved_de_pop1000_iter10_f0.75_cr0.3_no_candidate.csv,BOTH,32651.618704257704,3.3257850869428927
19,f_cr\ld_saved_de_pop1000_iter10_f0.75_cr0.3_no_candidate.csv,UPPER,20676.84095137249,2.6465732402063975
20,f_cr\ld_saved_de_pop1000_iter10_f0.75_cr0.3_no_candidate.csv,LOWER,11974.777752885217,2.014074608537418
21,f_cr\ld_saved_de_pop1000_iter10_f0.75_cr0.5_no_candidate.csv,BOTH,32897.6178730039,3.338289905966082
22,f_cr\ld_saved_de_pop1000_iter10_f0.75_cr0.5_no_candidate.csv,UPPER,20565.322031551867,2.6394265483080286
23,f_cr\ld_saved_de_pop1000_iter10_f0.75_cr0.5_no_candidate.csv,LOWER,12332.295841452038,2.043919517094986
24,f_cr\ld_saved_de_pop1000_iter10_f0.75_cr0.7_no_candidate.csv,BOTH,32632.500826750882,3.3248113027304043
25,f_cr\ld_saved_de_pop1000_iter10_f0.75_cr0.7_no_candidate.csv,UPPER,20661.0676639555,2.6455635810223
26,f_cr\ld_saved_de_pop1000_iter10_f0.75_cr0.7_no_candidate.csv,LOWER,11971.433162795382,2.0137933204607443
