,FILE,Rahang,Total,RMSE
0,popiter\ld_saved_de_pop1000_iter10_f05_cr07_v2.csv,BOTH,27179.666001728594,3.0343374779554204
1,popiter\ld_saved_de_pop1000_iter10_f05_cr07_v2.csv,UPPER,18033.821696748506,3.5339490925710866
2,popiter\ld_saved_de_pop1000_iter10_f05_cr07_v2.csv,LOWER,9145.844304980092,2.4626984166491255
3,popiter\ld_saved_de_pop100_iter100_f05_cr07_v2.csv,BOTH,26938.29165570687,3.0208339167763314
4,popiter\ld_saved_de_pop100_iter100_f05_cr07_v2.csv,UPPER,17614.414782573156,3.4926133750212793
5,popiter\ld_saved_de_pop100_iter100_f05_cr07_v2.csv,LOWER,9323.876873133713,2.4865522764590073
6,popiter\ld_saved_de_pop10_iter1000_f05_cr07_v2.csv,BOTH,27422.894002362442,3.0478842234052577
7,popiter\ld_saved_de_pop10_iter1000_f05_cr07_v2.csv,UPPER,17749.15945480695,3.505946615723631
8,popiter\ld_saved_de_pop10_iter1000_f05_cr07_v2.csv,LOWER,9673.734547555492,2.5327738418427215
9,popiter\ld_saved_de_pop10_iter1000_f05_cr07_no_candidate_v2.csv,BOTH,32433.863076252448,3.314676603816788
10,popiter\ld_saved_de_pop10_iter1000_f05_cr07_no_candidate_v2.csv,UPPER,20344.04621370258,3.7534883326352477
11,popiter\ld_saved_de_pop10_iter1000_f05_cr07_no_candidate_v2.csv,LOWER,12089.816862549875,2.831451912955242
12,popiter\ld_saved_de_pop100_iter100_f05_cr07_no_candidate_v2.csv,BOTH,32825.43625134665,3.334625575296416
13,popiter\ld_saved_de_pop100_iter100_f05_cr07_no_candidate_v2.csv,UPPER,20576.26520570966,3.774849816838828
14,popiter\ld_saved_de_pop100_iter100_f05_cr07_no_candidate_v2.csv,LOWER,12249.171045636998,2.8500513101664615
15,popiter\ld_saved_de_pop1000_iter10_f05_cr07_no_candidate_v2.csv,BOTH,32361.024759986216,3.310952545947004
16,popiter\ld_saved_de_pop1000_iter10_f05_cr07_no_candidate_v2.csv,UPPER,20250.409488840036,3.744840355195439
17,popiter\ld_saved_de_pop1000_iter10_f05_cr07_no_candidate_v2.csv,LOWER,12110.615271146195,2.8338863744897567
