,FILE,Rahang,Total,RMSE
0,popiter\ld_saved_de_iter10_pop1000_f05_cr07.csv,BOTH,50070.10523582971,4.118424184419927
1,popiter\ld_saved_de_iter10_pop1000_f05_cr07.csv,UPPER,28547.386519399435,3.109746595574219
2,popiter\ld_saved_de_iter10_pop1000_f05_cr07.csv,LOWER,21522.718716430252,2.7001655271722673
3,popiter\ld_saved_de_iter100_pop100_f05_cr07.csv,BOTH,50566.260008677156,4.138779031653915
4,popiter\ld_saved_de_iter100_pop100_f05_cr07.csv,UPPER,27061.681050328116,3.0277443961074275
5,popiter\ld_saved_de_iter100_pop100_f05_cr07.csv,LOWER,23504.57895834903,2.8217469313703845
6,popiter\ld_saved_de_iter1000_pop10_f05_cr07.csv,BOTH,53356.790769077634,4.251446062337056
7,popiter\ld_saved_de_iter1000_pop10_f05_cr07.csv,UPPER,27670.07833078864,3.0615899085087035
8,popiter\ld_saved_de_iter1000_pop10_f05_cr07.csv,LOWER,25686.712438289003,2.94982386814517
9,popiter\ld_saved_de_pop1000_iter10_f05_cr07_v2.csv,BOTH,49634.01808289545,4.100450190222832
10,popiter\ld_saved_de_pop1000_iter10_f05_cr07_v2.csv,UPPER,28521.560780631276,3.108339642348012
11,popiter\ld_saved_de_pop1000_iter10_f05_cr07_v2.csv,LOWER,21112.457302264185,2.674306719564212
12,popiter\ld_saved_de_pop100_iter100_f05_cr07_v2.csv,BOTH,48930.711401810775,4.071295155329053
13,popiter\ld_saved_de_pop100_iter100_f05_cr07_v2.csv,UPPER,27351.610648266087,3.0439202948841735
14,popiter\ld_saved_de_pop100_iter100_f05_cr07_v2.csv,LOWER,21579.100753544706,2.7036999612009596
15,popiter\ld_saved_de_pop10_iter1000_f05_cr07_v2.csv,BOTH,49739.51334539871,4.104805554473953
16,popiter\ld_saved_de_pop10_iter1000_f05_cr07_v2.csv,UPPER,27801.019364505428,3.0688254245918065
17,popiter\ld_saved_de_pop10_iter1000_f05_cr07_v2.csv,LOWER,21938.493980893305,2.7261216321762207
