,FILE,Rahang,Landmark,Total,RMSE
0,MANUAL WEIGHT,BOTH,MESIAL,3930.586741804826,2.9295165338063205
1,MANUAL WEIGHT,UPPER,MESIAL,3112.186576535626,3.694582672664973
2,MANUAL WEIGHT,LOWER,MESIAL,818.4001652692001,1.8863354919332236
3,MANUAL WEIGHT,BOTH,DISTAL,8626.763142526062,4.340014675715749
4,MANUAL WEIGHT,UPPER,DISTAL,6552.098276794062,5.360715730556285
5,MANUAL WEIGHT,LOWER,DISTAL,2074.664865732,3.003378435182909
6,MANUAL WEIGHT,BOTH,BUCCAL_OR_LABIAL,13292.927704553975,5.387379661480159
7,MANUAL WEIGHT,UPPER,BUCCAL_OR_LABIAL,8720.291270173151,6.1844071288885205
8,MANUAL WEIGHT,LOWER,BUCCAL_OR_LABIAL,4572.636434380824,4.4588146379468165
9,MANUAL WEIGHT,BOTH,LINGUAL_OR_PALATAL,16096.673423891069,5.928370363036895
10,MANUAL WEIGHT,UPPER,LINGUAL_OR_PALATAL,10485.979137203249,6.781676530672995
11,MANUAL WEIGHT,LOWER,LINGUAL_OR_PALATAL,5610.69428668782,4.939060941676992
12,MANUAL WEIGHT,BOTH,PIT,16508.950397182012,7.968435421466667
13,MANUAL WEIGHT,UPPER,PIT,10777.17951429113,9.070200985128132
14,MANUAL WEIGHT,LOWER,PIT,5731.770882890883,6.665758203348717
15,MANUAL WEIGHT,BOTH,CUSP,16994.833381231183,9.264582657864299
16,MANUAL WEIGHT,UPPER,CUSP,11082.742728262536,10.68901677764656
17,MANUAL WEIGHT,LOWER,CUSP,5912.090652968647,7.650852960258193
18,MANUAL WEIGHT,BOTH,CUSP_OUT,17383.319010896306,11.745758778930709
19,MANUAL WEIGHT,UPPER,CUSP_OUT,11382.38765332117,13.441458994245632
20,MANUAL WEIGHT,LOWER,CUSP_OUT,6000.931357575138,9.759758126699086
21,MANUAL WEIGHT,BOTH,CUSP_IN,18391.43451861642,14.06262281422745
22,MANUAL WEIGHT,UPPER,CUSP_IN,11844.67149323319,13.711697875272378
23,MANUAL WEIGHT,LOWER,CUSP_IN,6546.763025383229,14.772455252240265
24,MANUAL WEIGHT,BOTH,CUSP_OUT_MESIAL,19024.202191293578,11.915186030607408
25,MANUAL WEIGHT,UPPER,CUSP_OUT_MESIAL,12404.212714099227,13.50610576200262
26,MANUAL WEIGHT,LOWER,CUSP_OUT_MESIAL,6619.989477194351,10.015132094315135
27,MANUAL WEIGHT,BOTH,CUSP_OUT_MIDDLE,19091.17770306601,24.052453855200426
28,MANUAL WEIGHT,UPPER,CUSP_OUT_MIDDLE,12404.212714099227,0.0
29,MANUAL WEIGHT,LOWER,CUSP_OUT_MIDDLE,6686.964988966781,14.235002729046561
30,MANUAL WEIGHT,BOTH,CUSP_OUT_DISTAL,20192.21896319183,12.275512258877406
31,MANUAL WEIGHT,UPPER,CUSP_OUT_DISTAL,13301.004881697296,13.985814705126645
32,MANUAL WEIGHT,LOWER,CUSP_OUT_DISTAL,6891.214081494535,10.218235394044267
33,MANUAL WEIGHT,BOTH,CUSP_IN_MESIAL,23103.28140881734,11.761930217783476
34,MANUAL WEIGHT,UPPER,CUSP_IN_MESIAL,15581.773480527001,15.137494100900875
35,MANUAL WEIGHT,LOWER,CUSP_IN_MESIAL,7521.507928290341,8.716354028978417
36,MANUAL WEIGHT,BOTH,CUSP_IN_DISTAL,24144.51569001279,12.024056647552424
37,MANUAL WEIGHT,UPPER,CUSP_IN_DISTAL,16223.564165327607,15.446094197586007
38,MANUAL WEIGHT,LOWER,CUSP_IN_DISTAL,7920.951524685184,8.944809185245731
