,label,landmark,x,y,z
0,1,1,-27.10574,-1.9301753,-15.900382
1,1,2,-29.43628,-0.7745655,-20.083612
2,1,3,-29.9134,-1.1783171,-18.744755
3,1,4,-20.832485,-1.3555441,-16.155638
4,1,5,-26.871494,-1.4214468,-18.288809
5,1,9,-29.382925,-1.8184686,-17.371271
6,1,11,-27.544945,-1.51724,-21.937672
7,1,12,-23.601105,-5.0172586,-18.637074
8,1,13,-20.337656,-5.4435463,-21.474451
9,2,1,-28.891796,-2.6085286,4.9199047
10,2,2,-30.529728,0.61534643,-13.475226
11,2,3,-30.800018,0.24431217,-5.7817802
12,2,4,-22.624598,-4.069927,-2.818331
13,2,5,-27.953714,-1.1995233,-4.9699125
14,2,9,-29.475018,-2.971056,-2.9273646
15,2,11,-29.113941,-1.217239,-14.051621
16,2,12,-24.341341,-4.5466967,-3.4470441
17,2,13,-25.008026,-4.4158926,-9.26423
18,3,1,-28.14402,-4.040343,9.102644
19,3,2,-26.218676,-1.9739387,-5.7578053
20,3,3,-28.59424,-2.564516,7.0905867
21,3,4,-21.78539,-1.9712207,3.5228856
22,3,5,-23.715338,-2.3133998,5.1560116
23,3,7,-25.773209,-2.2919173,-5.866837
24,3,8,-22.87832,-4.465711,1.159008
25,4,1,-26.543747,-3.3935223,13.083288
26,4,2,-28.08833,-1.6083434,6.4138055
27,4,3,-29.041807,-0.30966952,11.691642
28,4,4,-20.564743,-2.1239934,8.476164
29,4,5,-25.334444,-3.418181,9.880396
30,4,7,-28.276745,-4.337694,10.261337
31,4,8,-23.662392,-5.494117,8.882416
32,5,1,-24.002016,-4.050499,21.303844
33,5,2,-27.32278,-3.7462683,14.002397
34,5,3,-27.610235,-3.7404118,19.010881
35,5,4,-21.246328,-2.7847521,15.530426
36,5,6,-26.22085,-6.416098,19.043655
37,6,1,-19.573551,-7.6220093,25.704914
38,6,2,-24.394472,-5.3636427,23.294865
39,6,3,-21.488585,-4.014631,25.94738
40,6,4,-20.368006,-3.2133303,19.93006
41,6,6,-20.853245,-7.6050277,24.905874
42,7,1,-10.997741,-10.843564,29.595926
43,7,2,-19.549511,-7.9026475,25.9551
44,7,3,-14.321675,-8.081592,30.655867
45,7,4,-14.651096,-5.9554944,25.021963
46,7,6,-15.075685,-11.383654,28.904703
47,8,1,-11.20829,-10.834343,29.2374
48,8,2,-1.3411977,-11.892098,29.259521
49,8,3,-6.493706,-9.141731,31.582792
50,8,4,-5.82835,-8.447595,27.28552
51,8,6,-7.554352,-12.864951,29.783573
52,9,1,-1.4760771,-11.965774,29.31346
53,9,2,4.7946124,-12.668027,27.948406
54,9,3,2.3715887,-10.487087,30.962303
55,9,4,1.7494147,-8.768677,24.886797
56,9,6,0.87144756,-12.419693,29.01163
57,10,1,5.13988,-11.59585,27.726425
58,10,2,11.511116,-13.558532,22.10849
59,10,3,10.763638,-13.315412,25.835768
60,10,4,5.1636972,-10.05504,22.928648
61,10,6,7.8305674,-14.283618,26.44451
62,12,1,13.708832,-13.212841,22.279655
63,12,2,17.018753,-12.064861,16.852911
64,12,3,17.43553,-12.347966,20.497221
65,12,4,9.174752,-9.90725,16.608963
66,12,5,13.161809,-12.839929,19.611933
67,12,7,15.237086,-14.592953,19.864042
68,12,8,11.028638,-13.373001,17.71123
69,13,1,17.228313,-13.45378,16.212494
70,13,2,26.644884,-12.529354,-1.2591672
71,13,3,23.357336,-13.786342,3.4821835
72,13,4,15.0512905,-10.143419,4.1047983
73,13,5,20.36699,-12.749152,6.1711993
74,13,9,20.474735,-14.180412,8.707686
75,13,11,19.490303,-13.65613,-0.74052024
76,13,12,15.535288,-13.658925,5.1581016
77,13,13,18.495754,-14.057514,0.3286344
78,14,1,27.092497,-10.807737,-1.9969568
79,14,2,30.60429,-9.907918,-10.76471
80,14,3,31.202993,-9.302685,-6.5487266
81,14,4,25.143133,-10.480508,-10.7303705
82,14,5,28.273039,-9.927495,-7.69526
83,14,9,28.909279,-12.500021,-4.4492793
84,14,11,27.46806,-10.5337925,-9.894811
85,14,12,23.48788,-12.487215,-8.89934
86,14,13,23.934889,-11.452486,-11.836743
