,label,landmark,x,y,z
0,1,1,-28.146921157836914,-1.6169668436050415,-15.811102867126465
1,1,2,-29.30537097160884,0.5345168965527951,-21.117014706786243
2,1,3,-30.062553398600706,1.6900034892086122,-18.830894110869355
3,1,4,-19.15659734604208,-4.234068099473109,-22.838859571251202
4,1,5,-24.476945877075195,-2.9229609966278076,-20.694599151611328
5,1,9,-29.34517734410358,-1.8452897502002368,-17.295206629592276
6,1,11,-28.05725867241868,-1.2036689163878407,-21.779612080422098
7,1,12,-21.591613435392155,-5.016579318567609,-20.040034627247348
8,1,13,-21.842512743470067,-4.69883281270974,-23.54371420509832
9,2,1,-30.17994741945557,-0.26670232158308593,-5.4586585746320475
10,2,2,-29.425490881529665,-0.0012613051057444966,-14.531306648084286
11,2,3,-31.931963563575515,1.9837279348338257,-9.05235040037931
12,2,4,-21.95431164140713,-2.4923122402508664,-11.061563390669644
13,2,5,-27.411742724584474,-1.2705640135489915,-10.883216239517518
14,2,9,-31.569007670869734,-0.9435920881588551,-7.967602630730449
15,2,11,-29.113941192626953,-1.2172390222549438,-14.051621437072754
16,2,12,-25.008026123046875,-4.415892601013184,-9.264229774475098
17,2,13,-24.349212646484375,-3.404184103012085,-13.713824272155762
18,3,1,-29.079268445020535,-1.985051506012026,5.635817932662269
19,3,2,-29.364805763834394,-1.2607089294940819,-4.147316877457733
20,3,3,-31.257719581708482,0.6935670212155577,1.2492242919598537
21,3,4,-21.158891087424518,-2.2448520703119472,-1.5899401158036461
22,3,5,-26.339401472253012,-2.4914212997967367,-0.12338318969624607
23,3,7,-30.32160554167191,-2.774823294372372,-1.8175468333217262
24,3,8,-23.44879678282874,-4.395046655037945,1.1173210229209685
25,4,1,-26.543746948242188,-3.393522262573242,13.083288192749023
26,4,2,-28.370743597087028,-2.1980639638550223,6.7961288939454425
27,4,3,-29.439724575387636,-0.8930300174701006,10.949195367134736
28,4,4,-21.03864767374782,-3.527946535623088,8.285344179650977
29,4,5,-25.548625740996055,-3.360958202078254,9.53137755164524
30,4,7,-28.318659934238628,-4.332196164104655,10.95616811787053
31,4,8,-23.576106599469217,-5.486090974722997,9.906914001664818
32,5,1,-24.168407077106213,-4.274060666782654,21.10880172611686
33,5,2,-26.820125738322446,-3.965739760283969,13.436943115675234
34,5,3,-27.958405701932392,-1.3478714326971322,18.668881728931193
35,5,4,-20.699521596718505,-2.7824156686924653,16.406693435358953
36,5,6,-26.220849990844727,-6.416098117828369,19.043655395507812
37,6,1,-19.573551177978516,-7.62200927734375,25.704914093017578
38,6,2,-24.21608275572677,-5.715536630591942,21.874843194760754
