,label,landmark,x,y,z
0,1,1,-28.96235,-2.87224,-9.58144
1,1,2,-31.46046,-2.9724944,-17.106037
2,1,3,-32.996784,-1.181924,-16.20878
3,1,4,-23.980377,-2.9453924,-12.686409
4,1,5,-29.102116,-2.324488,-15.499402
5,1,9,-30.792103,-4.5031714,-12.664425
6,1,11,-30.536652,-3.0634525,-14.687336
7,1,12,-25.49137,-5.274309,-15.929819
8,1,13,-25.399223,-4.799165,-17.146072
9,2,1,-25.671162,-5.343527,-0.0480988
10,2,2,-28.73832,-5.439678,-8.860804
11,2,3,-28.928263,-5.531382,-4.198628
12,2,4,-19.940876,-6.105968,-4.8610935
13,2,5,-25.585705,-5.3731823,-5.046727
14,2,9,-27.52087,-6.693445,-2.5138683
15,2,11,-27.651962,-7.044794,-7.5232983
16,2,12,-21.517075,-7.598213,-5.8919697
17,2,13,-22.738533,-6.75693,-7.948338
18,3,1,-24.402203,-5.893776,6.059716
19,3,2,-26.234167,-5.9643574,0.6707761
20,3,3,-26.667755,-4.724258,4.950128
21,3,4,-18.619366,-3.8928916,1.1470815
22,3,5,-22.821802,-6.0297227,2.8783672
23,3,7,-25.664618,-7.377021,4.2241898
24,3,8,-20.61525,-7.8357058,1.7901701
25,4,1,-22.205837,-5.1922474,12.593137
26,4,2,-24.149174,-5.0310783,6.361428
27,4,3,-24.660812,-3.2160373,10.933071
28,4,4,-16.313383,-2.6983242,7.606057
29,4,5,-20.205698,-4.8596306,9.964312
30,4,7,-23.551775,-7.1051617,10.28713
31,4,8,-17.591282,-6.837584,9.173466
32,5,1,-17.143011,-2.8780603,19.526827
33,5,2,-22.56257,-3.8225188,14.954486
34,5,3,-21.771954,-4.2000012,17.65288
35,5,4,-15.729457,-2.292623,15.011362
36,5,6,-20.310276,-6.183161,17.898386
37,6,1,-10.825913,-4.27484,23.06421
38,6,2,-17.83751,-4.261303,22.007904
39,6,3,-14.912767,-3.4626558,24.049633
40,6,4,-13.656926,-2.3650587,20.074934
41,6,6,-13.441877,-6.035409,23.79348
42,7,1,-2.8353744,-4.8499937,26.490143
43,7,2,-10.264997,-5.5690928,22.877941
44,7,3,-6.1612363,-3.554416,27.03419
45,7,4,-7.5673103,-2.9185665,20.829876
46,7,6,-7.2584896,-7.2017145,24.783478
47,8,1,-4.489525,-2.583729,29.764074
48,8,2,3.6408353,-2.8975282,26.746819
49,8,3,-1.4448676,-2.69136,30.375608
50,8,4,-0.052112583,-1.0000975,23.858454
51,8,6,0.34855217,-5.3325725,28.66532
52,9,1,3.407771,-3.209073,26.673153
53,9,2,9.985995,-2.2358184,25.287712
54,9,3,7.0864406,-2.0237405,27.704578
55,9,4,6.0761557,-2.2089562,21.673878
56,9,6,6.8155017,-4.679122,27.355629
57,10,1,9.411708,-2.8795686,22.843468
58,10,2,15.068766,-3.3520856,18.37986
59,10,3,14.267527,-3.7065647,21.513634
60,10,4,8.185956,-1.8377825,18.647264
61,10,6,12.594719,-5.7199435,21.992435
62,11,1,14.734331,-4.757065,16.603321
63,11,2,17.410652,-4.3295712,10.404382
64,11,3,17.817734,-4.36785,14.58602
65,11,4,9.80556,-3.4506066,10.371716
66,11,5,13.238596,-4.459199,13.414835
67,11,7,16.46449,-6.801357,14.504212
68,11,8,10.65262,-6.440682,11.729008
69,12,1,17.89127,-4.740234,10.206132
70,12,2,19.27925,-4.772162,2.421902
71,12,3,21.342716,-3.734387,7.735866
72,12,4,14.649345,-4.101003,3.568419
73,12,5,17.226883,-5.0494113,6.2206306
74,12,7,19.189123,-6.347685,8.699339
75,12,8,16.786333,-6.948042,3.5088801
76,13,1,23.492683,-4.538641,4.005856
77,13,2,26.858583,-4.568939,-3.7246723
78,13,3,26.220646,-5.3791733,-4.0991244
79,13,4,17.281395,-4.522822,-3.9652534
80,13,5,22.584309,-4.4770026,-0.8923562
81,13,9,24.102339,-5.8161335,2.2793696
82,13,11,25.319925,-6.0175858,-3.0422978
83,13,12,19.357018,-7.2051096,-2.2629292
84,13,13,19.859798,-6.6735725,-3.8848488
85,14,1,26.435226,-3.2580557,-5.156678
86,14,2,30.493593,-2.9840007,-12.323471
87,14,3,31.087494,-1.7129612,-11.005373
88,14,4,22.269836,-4.1925526,-10.24099
89,14,5,26.887878,-2.852961,-10.785277
90,14,9,28.628323,-4.741802,-7.8190284
91,14,11,29.502987,-3.3753517,-12.473113
92,14,12,24.53536,-5.5944448,-12.149752
93,14,13,24.422085,-5.406209,-12.755552
