,label,landmark,x,y,z
0,1,1,-28.146921,-1.6169668,-15.811103
1,1,2,-29.43628,-0.7745655,-20.083612
2,1,3,-28.6594,1.340413,-21.167439
3,1,4,-20.548166,-3.2394323,-18.074562
4,1,5,-26.003098,-1.4017125,-20.329853
5,1,9,-25.733088,-2.7119615,-16.869875
6,1,11,-27.544945,-1.51724,-21.937672
7,1,12,-21.227654,-5.4405303,-22.011017
8,1,13,-21.445139,-5.2438045,-22.732391
9,2,1,-26.999733,-1.8250302,-5.51476
10,2,2,-30.56955,0.1740469,-13.397788
11,2,3,-31.15506,0.4642804,-10.842742
12,2,4,-22.905846,-3.3925102,-9.669593
13,2,5,-28.130005,-1.0449675,-9.615938
14,2,9,-30.724346,-1.6268668,-8.224915
15,2,11,-29.113941,-1.217239,-14.051621
16,2,12,-25.008026,-4.4158926,-9.26423
17,2,13,-24.349213,-3.404184,-13.713824
18,3,1,-29.076473,-2.3697762,5.2762637
19,3,2,-29.529167,-0.7941941,-4.0752935
20,3,3,-30.44078,-2.0724597,1.8632965
21,3,4,-21.61214,-3.0825987,-1.5674095
22,3,5,-26.617548,-2.4428234,0.79555285
23,3,7,-29.475018,-2.971056,-2.9273646
24,3,8,-24.341341,-4.5466967,-3.4470441
25,4,1,-26.543747,-3.3935223,13.083288
26,4,2,-28.193243,-1.9587727,6.6902976
27,4,3,-29.162134,-0.9243129,11.525525
28,4,4,-20.494545,-1.8540456,8.002703
29,4,5,-25.334444,-3.418181,9.880396
30,4,7,-28.276745,-4.337694,10.261337
31,4,8,-23.662392,-5.494117,8.882416
32,5,1,-24.002016,-4.050499,21.303844
33,5,2,-27.32278,-3.7462683,14.002397
34,5,3,-27.610235,-3.7404118,19.010881
35,5,4,-21.246328,-2.7847521,15.530426
36,5,6,-26.22085,-6.416098,19.043655
37,6,1,-19.573551,-7.6220093,25.704914
38,6,2,-24.394472,-5.3636427,23.294865
39,6,3,-21.488585,-4.014631,25.94738
40,6,4,-20.368006,-3.2133303,19.93006
41,6,6,-20.853245,-7.6050277,24.905874
42,7,1,-11.178843,-10.886236,29.446835
43,7,2,-19.549511,-7.9026475,25.9551
44,7,3,-14.637457,-8.208271,30.493177
45,7,4,-14.651096,-5.9554944,25.021963
46,7,6,-15.075685,-11.383654,28.904703
47,8,1,-11.20829,-10.834343,29.2374
48,8,2,-1.3411977,-11.892098,29.259521
49,8,3,-6.493706,-9.141731,31.582792
50,8,4,-5.82835,-8.447595,27.28552
51,8,6,-7.554352,-12.864951,29.783573
52,9,1,-1.4760771,-11.965774,29.31346
53,9,2,4.7946124,-12.668027,27.948406
54,9,3,2.796687,-9.788452,31.06704
55,9,4,1.7494147,-8.768677,24.886797
56,9,6,0.87144756,-12.419693,29.01163
57,10,1,5.53448,-11.099601,27.910498
58,10,2,11.511116,-13.558532,22.10849
59,10,3,10.763638,-13.315412,25.835768
60,10,4,5.1636972,-10.05504,22.928648
61,10,6,7.8305674,-14.283618,26.44451
62,11,1,13.708832,-13.212841,22.279655
63,11,2,17.018753,-12.064861,16.852911
64,11,3,17.43553,-12.347966,20.497221
65,11,4,9.174752,-9.90725,16.608963
66,11,5,13.161809,-12.839929,19.611933
67,11,7,15.237086,-14.592953,19.864042
68,11,8,11.028638,-13.373001,17.71123
69,12,1,16.977394,-13.140008,16.35361
70,12,2,19.291342,-12.671217,4.5944757
71,12,3,20.368793,-14.191493,11.7022705
72,12,4,12.103432,-10.820268,8.290327
73,12,5,16.905357,-12.852256,10.611969
74,12,7,16.752405,-13.536335,4.6503134
75,12,8,15.535288,-13.658925,5.1581016
76,13,1,22.842407,-13.567638,6.1020265
77,13,2,26.302032,-12.651232,-1.64785
78,13,3,26.30046,-13.194495,0.8256457
79,13,4,17.506191,-11.881483,-0.6688552
80,13,5,22.25858,-12.660037,1.0585948
81,13,9,23.676294,-14.726708,4.701557
82,13,11,24.567528,-13.705794,-1.1224173
83,13,12,18.495754,-14.057514,0.3286344
84,13,13,19.626839,-13.286539,-1.3755878
85,14,1,26.83728,-10.971096,-2.1164722
86,14,2,30.393415,-10.306193,-10.492594
87,14,3,31.297745,-9.03535,-8.93517
88,14,4,24.610971,-10.913927,-10.719454
89,14,5,27.853687,-9.870079,-7.757487
90,14,9,28.909279,-12.500021,-4.4492793
91,14,11,27.46806,-10.5337925,-9.894811
92,14,12,23.48788,-12.487215,-8.89934
93,14,13,23.437338,-11.542324,-11.627254
